frame,t,ground_dx_at_hole,ground_dy_at_hole,n_inliers,local_scale,sim_scale,zoom_resid_ln,cum_zoom_from_f785
630,10.5732,-9.362,6.673,95,1.004,0.99331,0.00143,1.0
631,10.59,-10.128,8.01,101,1.00488,1.0036,0.00159,1.0
632,10.6068,-6.881,6.858,107,0.99811,0.99939,-0.00448,1.0
633,10.6236,-6.495,6.635,102,0.9982,0.99952,-0.00426,1.0
634,10.6404,-9.743,7.53,105,1.0036,0.99927,0.00057,1.0
635,10.6573,-9.944,7.618,123,1.00267,1.0036,-0.0004,1.0
636,10.6741,-10.006,8.085,105,1.00506,0.99928,0.00174,1.0
637,10.6909,-10.555,8.651,108,1.0043,0.99881,0.00067,1.0
638,10.7077,-10.616,8.998,124,1.00427,1.0017,0.00046,1.0
639,10.7245,-9.896,7.696,111,1.00326,1.00568,0.00014,1.0
640,10.7413,-10.606,8.466,112,1.00365,1.0044,0.00012,1.0
641,10.7581,-11.292,9.811,112,1.00364,1.00416,-0.00061,1.0
642,10.7749,-9.754,6.85,112,1.004,1.00526,0.00133,1.0
643,10.7917,-6.012,7.386,97,0.99618,1.00506,-0.00666,1.0
644,10.8085,-12.61,11.849,115,1.00153,1.00406,-0.00381,1.0
645,10.8253,-8.584,5.447,96,1.00443,1.00485,0.00251,1.0
646,10.8422,-12.861,12.109,94,1.00468,1.00143,-0.0008,1.0
647,10.859,-12.997,11.662,84,1.00649,1.00013,0.00121,1.0
648,10.8758,-10.613,8.71,144,1.0048,1.0043,0.00113,1.0
649,10.8926,-11.849,10.442,91,1.00627,1.00502,0.00167,1.0
650,10.9094,-10.33,9.214,88,1.0034,1.00512,-0.00051,1.0
651,10.9262,-8.998,7.529,83,1.00331,1.00551,0.0003,1.0
652,10.943,-9.17,7.574,98,1.00339,1.00637,0.00036,1.0
653,10.9598,-9.364,8.348,101,1.00183,1.00575,-0.00161,1.0
654,10.9766,-11.769,9.042,123,1.00606,1.00452,0.00219,1.0
