frame,t_s,dxA,dyA,peakA,texA,dxC,dyC,peakC,texC,dxD,dyD,peakD,texD
550,9.1500,-10.56,5.92,141.7,10.78,0.00,-0.03,149.8,2.19,-13.96,9.53,63.1,10.69
551,9.1667,-10.58,5.83,141.9,10.78,0.01,-0.07,110.7,2.26,-12.59,8.35,72.2,10.58
552,9.1833,-10.52,5.91,155.9,10.90,0.00,-0.01,163.3,2.29,-12.41,8.42,82.5,10.59
553,9.2000,-10.53,5.92,166.4,10.97,-0.01,-0.07,139.9,2.22,-12.55,8.46,83.8,10.69
554,9.2167,-10.53,5.97,167.0,11.06,0.00,0.01,144.0,2.78,-13.48,9.48,89.5,10.89
555,9.2333,-10.55,5.96,150.2,11.13,-0.01,-0.02,118.6,3.35,-13.39,9.66,98.5,11.18
556,9.2500,-10.40,6.03,167.5,11.21,-0.00,-0.01,167.0,3.63,-13.19,9.58,95.2,11.28
557,9.2667,-10.18,6.01,188.4,11.22,-0.09,-0.10,97.2,3.81,-12.46,9.68,121.0,11.34
558,9.2833,-10.62,6.18,133.8,11.24,0.00,0.01,161.7,3.88,-13.41,9.83,130.8,11.38
559,9.3000,-10.14,6.01,169.8,11.25,-0.00,-0.06,141.9,3.87,-12.50,9.91,132.9,11.44
560,9.3167,-10.20,6.15,153.0,11.25,-0.01,-0.02,122.7,3.75,-12.99,10.25,123.4,11.52
561,9.3333,-10.28,6.18,142.9,11.33,0.00,-0.01,148.0,3.51,-13.46,9.94,146.3,11.61
562,9.3500,-10.17,6.17,151.9,11.32,0.00,-0.03,148.9,3.05,-13.09,9.86,118.9,11.71
563,9.3667,-10.31,6.28,133.5,11.30,-0.10,-0.02,94.1,2.09,-13.70,10.13,163.7,11.82
564,9.3833,-9.96,6.23,146.9,11.27,0.01,-0.01,144.0,1.49,-12.74,10.16,126.7,11.89
565,9.4000,-10.08,6.25,131.8,11.21,-0.01,-0.02,130.8,1.39,-13.55,10.06,129.0,11.93
566,9.4167,-10.10,6.23,128.2,11.14,-0.00,-0.01,139.6,1.40,-13.62,10.05,146.0,11.97
567,9.4333,-9.97,6.35,123.0,11.13,0.01,0.01,115.8,1.38,-13.60,10.10,141.4,11.98
568,9.4500,-9.94,6.27,126.1,11.02,0.01,0.01,125.9,1.36,-13.70,10.06,159.5,12.05
569,9.4667,-10.09,6.37,127.4,11.03,0.01,0.02,122.5,1.36,-13.84,10.49,138.3,12.03
570,9.4833,-9.66,6.13,124.0,10.98,0.02,-0.00,141.3,1.37,-13.14,9.87,115.6,12.01
571,9.5000,-10.03,6.29,138.1,10.93,0.00,-0.00,133.9,1.38,-13.86,10.38,158.8,11.93
572,9.5167,-9.89,6.25,135.1,10.82,-0.00,-0.00,156.5,1.38,-13.67,10.17,157.9,11.78
573,9.5333,-9.81,6.27,126.9,10.69,0.00,-0.02,171.3,1.37,-13.62,10.14,162.8,11.65
574,9.5500,-9.99,6.23,144.2,10.58,0.00,0.00,184.8,1.35,-13.79,10.28,165.4,11.49
575,9.5667,-9.93,6.37,133.3,10.62,-0.00,0.00,191.7,1.34,-13.83,10.24,173.4,11.28
576,9.5833,-9.85,6.21,143.5,10.69,0.00,-0.00,200.1,1.33,-13.89,10.14,149.4,11.02
577,9.6000,-9.97,6.37,139.6,10.70,-0.00,0.00,201.5,1.32,-13.93,10.30,139.9,10.73
578,9.6167,-10.00,6.33,142.6,10.69,0.00,-0.00,220.6,1.29,-13.88,10.35,144.4,10.47
579,9.6333,-9.87,6.55,132.7,10.62,0.00,0.00,220.7,1.28,-13.87,10.28,147.2,10.23
580,9.6500,-10.02,6.33,160.6,10.43,0.00,0.00,235.5,1.28,-14.04,10.64,112.8,9.97
581,9.6667,-9.96,6.43,154.7,10.25,-0.00,0.00,222.0,1.28,-14.03,10.50,110.6,9.70
