frame,t,knob_x,knob_y,knob_method,base_x,base_y,ring_r,base_method,knob_dist,knob_angle_deg,hole_vx,hole_vy,hole_speed,travel_angle_deg
440,7.3794,909.0,1519.0,H,926.0,1694.0,168.60000610351562,H,175.8,-95.5,-1.77,-11.14,11.28,-99.0
441,7.3962,909.0,1519.0,H,928.0,1692.0,168.60000610351562,H,174.0,-96.3,-1.79,-11.15,11.29,-99.1
442,7.413,913.0,1517.0,H,926.0,1692.0,169.0,H,175.5,-94.2,-1.87,-11.3,11.46,-99.4
443,7.4298,913.0,1519.0,H,928.0,1692.0,168.39999389648438,H,173.6,-95.0,-1.24,-10.63,10.7,-96.6
444,7.4466,913.0,1517.0,H,928.0,1692.0,161.1999969482422,H,175.6,-94.9,-1.44,-11.02,11.12,-97.5
445,7.4634,913.0,1517.0,H,928.0,1692.0,168.39999389648438,H,175.6,-94.9,-1.63,-11.5,11.61,-98.1
446,7.4802,913.0,1517.0,H,928.0,1690.0,161.1999969482422,H,173.6,-95.0,-1.29,-11.13,11.2,-96.6
447,7.4971,915.0,1515.0,H,928.0,1690.0,160.8000030517578,H,175.5,-94.2,-1.67,-11.29,11.42,-98.4
448,7.5139,915.0,1515.0,H,926.0,1688.0,168.39999389648438,H,173.3,-93.6,-1.5,-11.58,11.68,-97.4
449,7.5307,919.0,1515.0,H,928.0,1690.0,160.0,H,175.2,-92.9,-2.56,-10.95,11.25,-103.2
450,7.5475,919.0,1513.0,H,928.0,1688.0,161.39999389648438,H,175.2,-92.9,-1.44,-11.12,11.21,-97.4
451,7.5643,923.0,1511.0,H,928.0,1688.0,168.39999389648438,H,177.1,-91.6,-1.65,-10.7,10.82,-98.7
452,7.5811,925.0,1511.0,H,926.0,1686.0,168.60000610351562,H,175.0,-90.3,-2.57,-10.71,11.01,-103.5
453,7.5979,927.0,1511.0,H,926.0,1684.0,169.0,H,173.0,-89.7,-1.03,-11.57,11.62,-95.1
454,7.6147,931.0,1509.0,H,924.0,1682.0,164.39999389648438,H,173.1,-87.7,-1.15,-11.45,11.51,-95.7
455,7.6315,933.0,1507.0,H,928.0,1684.0,168.1999969482422,H,177.1,-88.4,-1.45,-10.83,10.93,-97.6
456,7.6483,935.0,1505.0,H,926.0,1682.0,161.8000030517578,H,177.2,-87.1,-0.47,-11.07,11.08,-92.4
457,7.6652,937.0,1505.0,H,928.0,1682.0,159.60000610351562,H,177.2,-87.1,-1.78,-11.32,11.46,-99.0
458,7.682,937.0,1505.0,H,928.0,1680.0,161.39999389648438,H,175.2,-87.1,1.14,-11.41,11.46,-84.3
459,7.6988,939.0,1503.0,H,924.0,1676.0,164.8000030517578,H,173.6,-85.0,0.51,-11.52,11.54,-87.4
460,7.7156,941.0,1505.0,H,928.0,1676.0,168.60000610351562,H,171.5,-85.7,0.13,-11.76,11.76,-89.3
461,7.7324,941.0,1501.0,H,926.0,1676.0,168.39999389648438,H,175.6,-85.1,0.79,-11.41,11.44,-86.1
462,7.7492,941.0,1501.0,H,926.0,1674.0,169.0,H,173.6,-85.0,1.15,-11.5,11.56,-84.3
463,7.766,943.0,1501.0,H,930.0,1678.0,164.8000030517578,H,177.5,-85.8,1.14,-11.23,11.28,-84.2
464,7.7828,943.0,1501.0,H,928.0,1676.0,168.39999389648438,H,175.6,-85.1,1.18,-11.07,11.13,-83.9
465,7.7996,943.0,1501.0,H,928.0,1670.0,165.0,H,169.7,-84.9,1.68,-11.03,11.16,-81.3
466,7.8164,943.0,1501.0,H,928.0,1670.0,165.0,H,169.7,-84.9,-0.0,-0.0,0.0,-180.0
467,7.8332,943.0,1501.0,H,928.0,1670.0,165.0,H,169.7,-84.9,-0.0,-0.0,0.0,-180.0
468,7.8501,943.0,1501.0,H,928.0,1670.0,165.0,H,169.7,-84.9,-0.0,-0.0,0.0,-180.0
469,7.8669,945.0,1499.0,H,928.0,1674.0,168.8000030517578,H,175.8,-84.5,5.08,-47.59,47.86,-83.9
470,7.8837,951.0,1499.0,H,928.0,1672.0,169.39999389648438,H,174.5,-82.4,1.16,-10.05,10.12,-83.4
471,7.9005,953.0,1499.0,H,928.0,1672.0,169.39999389648438,H,174.8,-81.8,0.87,-9.88,9.91,-85.0
472,7.9173,957.0,1499.0,H,932.0,1672.0,165.0,H,174.8,-81.8,1.68,-10.11,10.25,-80.6
473,7.9341,959.0,1499.0,H,926.0,1668.0,164.39999389648438,H,172.2,-79.0,1.55,-10.21,10.32,-81.3
474,7.9509,959.0,1497.0,H,932.0,1670.0,164.8000030517578,H,175.1,-81.1,1.12,-10.31,10.37,-83.8
475,7.9677,963.0,1499.0,H,932.0,1670.0,165.0,H,173.8,-79.7,1.3,-10.29,10.37,-82.8
476,7.9845,965.0,1497.0,H,930.0,1668.0,162.39999389648438,H,174.5,-78.4,1.82,-10.58,10.74,-80.2
477,8.0013,967.0,1497.0,H,928.0,1666.0,169.39999389648438,H,173.4,-77.0,1.49,-11.46,11.55,-82.6
478,8.0182,967.0,1497.0,H,928.0,1666.0,160.60000610351562,H,173.4,-77.0,2.01,-10.97,11.15,-79.6
479,8.035,971.0,1495.0,H,928.0,1666.0,160.1999969482422,H,176.3,-75.9,2.32,-10.96,11.2,-78.0
480,8.0518,973.0,1495.0,H,928.0,1666.0,160.60000610351562,H,176.8,-75.3,2.46,-9.87,10.17,-76.0
481,8.0686,973.0,1495.0,H,930.0,1664.0,169.1999969482422,H,174.4,-75.7,2.14,-11.0,11.21,-79.0
482,8.0854,975.0,1493.0,H,930.0,1664.0,160.39999389648438,H,176.8,-75.3,3.92,-10.88,11.57,-70.2
483,8.1022,977.0,1495.0,H,928.0,1662.0,169.39999389648438,H,174.0,-73.6,2.28,-11.01,11.24,-78.3
484,8.119,977.0,1493.0,H,928.0,1662.0,169.0,H,176.0,-73.8,2.39,-10.33,10.6,-77.0
485,8.1358,981.0,1495.0,H,928.0,1662.0,160.60000610351562,H,175.2,-72.4,3.05,-10.1,10.55,-73.2
486,8.1526,985.0,1495.0,H,934.0,1662.0,165.0,H,174.6,-73.0,2.77,-10.06,10.43,-74.6
