frame,t_s,base_x,base_y,r,score,knob_x,knob_y,dist
582,9.6833,982.4,1598.3,165,47.99,1106.4,1473.3,176.1
583,9.7000,983.1,1597.0,165,48.19,1106.1,1472.0,175.4
584,9.7167,984.1,1597.4,165,48.02,1106.1,1471.4,175.4
585,9.7333,984.5,1597.0,165,47.72,1106.5,1470.0,176.1
586,9.7500,984.1,1597.4,165,47.87,1106.1,1468.4,177.6
587,9.7667,985.9,1594.7,165,48.04,1105.9,1466.7,175.5
588,9.7833,985.8,1594.3,165,47.90,1105.8,1464.3,176.9
589,9.8000,987.3,1594.0,165,48.27,1106.3,1463.0,177.0
590,9.8167,988.7,1592.3,165,47.89,1105.7,1461.3,175.6
591,9.8333,988.7,1593.1,165,47.56,1105.7,1460.1,177.1
592,9.8500,990.3,1591.8,165,47.62,1106.3,1458.8,176.5
593,9.8667,990.4,1591.3,165,47.78,1106.4,1458.3,176.5
594,9.8833,990.6,1590.6,165,47.25,1106.6,1457.6,176.5
595,9.9000,992.3,1589.3,165,47.24,1106.3,1456.3,175.2
596,9.9167,991.6,1588.9,165,47.25,1106.6,1455.9,175.8
597,9.9333,992.9,1589.2,165,47.47,1106.9,1455.2,175.9
598,9.9500,992.6,1589.4,165,47.50,1106.6,1455.4,175.9
599,9.9667,992.6,1589.4,165,47.10,1106.6,1454.4,176.7
600,9.9833,992.8,1588.1,165,47.00,1106.8,1454.1,175.9
601,10.0000,993.1,1587.7,165,47.31,1107.1,1453.7,175.9
602,10.0167,993.1,1587.4,165,47.22,1107.1,1453.4,175.9
603,10.0333,993.4,1587.2,165,47.28,1107.4,1453.2,175.9
604,10.0500,994.3,1587.3,165,46.99,1107.3,1452.3,176.1
605,10.0667,994.3,1586.4,165,46.94,1107.3,1452.4,175.3
606,10.0833,994.5,1587.2,165,47.06,1107.5,1452.2,176.1
607,10.1000,994.1,1587.5,165,46.89,1107.1,1451.5,176.8
608,10.1167,994.6,1587.3,165,47.19,1107.6,1451.3,176.8
609,10.1333,994.5,1587.1,165,47.00,1107.5,1451.1,176.8
610,10.1500,994.6,1587.0,165,46.89,1108.6,1451.0,177.5
611,10.1667,994.7,1586.9,165,46.87,1108.7,1450.9,177.5
612,10.1833,994.9,1586.8,165,46.82,1108.9,1450.8,177.5
613,10.2000,994.9,1585.6,165,46.57,1108.9,1450.6,176.7
614,10.2167,995.8,1586.7,165,46.71,1108.8,1450.7,176.8
615,10.2333,995.7,1586.1,165,46.95,1109.7,1451.1,176.7
616,10.2500,995.0,1586.1,165,46.90,1110.0,1451.1,177.3
617,10.2667,995.1,1586.1,165,46.82,1110.1,1451.1,177.3
618,10.2833,996.0,1586.2,165,46.58,1110.0,1450.2,177.5
619,10.3000,995.7,1585.9,165,46.71,1109.7,1449.9,177.5
620,10.3167,996.2,1585.6,165,46.63,1109.2,1449.6,176.8
621,10.3333,996.3,1584.8,165,47.06,1109.3,1448.8,176.8
622,10.3500,996.7,1585.3,165,46.90,1109.7,1448.3,177.6
623,10.3667,997.4,1584.6,165,46.70,1110.4,1447.6,177.6
624,10.3833,997.5,1584.3,165,46.43,1110.5,1447.3,177.6
625,10.4000,997.3,1584.3,165,46.33,1110.3,1447.3,177.6
626,10.4167,997.4,1583.1,165,46.18,1109.4,1446.1,177.0
627,10.4333,997.6,1583.6,165,46.24,1109.6,1445.6,177.7
628,10.4500,998.1,1583.4,165,46.20,1110.1,1445.4,177.7
629,10.4667,997.9,1583.4,165,46.08,1109.9,1445.4,177.7
630,10.4833,998.0,1583.0,165,46.21,1110.0,1445.0,177.7
631,10.5000,998.1,1583.1,165,46.08,1110.1,1445.1,177.7
632,10.5167,998.0,1583.0,165,45.85,1110.0,1445.0,177.7
633,10.5333,998.0,1583.0,165,45.57,1110.0,1445.0,177.7
634,10.5500,998.0,1583.0,165,45.50,1110.0,1445.0,177.7
635,10.5667,997.8,1582.9,165,45.54,1109.8,1444.9,177.7
636,10.5833,997.7,1582.8,165,45.29,1109.7,1444.8,177.7
637,10.6000,997.8,1582.9,165,45.34,1109.8,1444.9,177.7
638,10.6167,997.8,1582.9,165,45.26,1109.8,1444.9,177.7
