frame,blob_id,cx,cy,w,h,area
852,4,787.1,1359.6,80,80,3040
852,5,789.4,1479.1,104,120,3952
853,0,1181.3,957.6,76,80,2480
853,1,1164.4,1087.5,100,124,3168
853,2,991.3,1104.6,76,84,2880
853,3,983.0,1234.1,104,124,3664
853,4,777.5,1455.7,108,196,6448
854,0,1174.3,965.2,76,80,2416
854,1,1156.8,1094.8,96,124,3152
854,2,982.9,1113.6,76,88,2944
854,3,975.2,1242.8,100,128,3648
854,4,768.6,1458.9,76,152,4080
855,0,1295.6,987.8,76,112,2320
855,1,1167.7,973.9,76,80,2544
855,2,1151.1,1103.1,100,124,3168
855,3,975.4,1122.2,80,88,2912
855,4,971.1,1250.6,92,128,3472
855,5,755.7,1483.3,72,104,2848
856,0,1293.8,992.7,84,116,2640
856,1,1161.9,981.8,76,80,2576
856,2,1145.6,1110.5,96,124,3216
856,3,968.9,1131.9,80,84,2928
856,4,967.8,1256.5,80,128,3264
856,5,744.0,1521.8,76,60,1952
857,0,1291.1,998.8,88,116,2784
857,1,1156.5,990.4,72,80,2560
857,2,1140.2,1121.4,100,128,3328
857,3,963.4,1141.6,80,88,3008
857,4,964.8,1263.9,72,124,3024
858,0,1288.3,1005.2,92,120,2848
858,1,1153.7,999.7,76,84,2672
858,2,1136.8,1130.7,104,128,3328
858,3,958.5,1151.3,76,88,3008
858,4,958.1,1268.4,64,128,2288
859,0,1287.2,1014.8,92,124,3072
859,1,1152.1,1009.3,76,80,2544
859,2,1135.5,1138.2,100,124,3360
859,3,956.9,1176.5,80,168,3840
860,0,1287.2,1023.1,92,124,3088
860,1,1151.9,1018.2,76,80,2624
860,2,1135.5,1147.5,104,124,3248
860,3,955.2,1172.0,80,88,3088
861,0,1288.8,1033.0,88,120,3008
861,1,1153.9,1027.3,76,84,2672
861,2,1136.6,1157.8,104,128,3344
861,3,956.6,1181.3,80,84,3136
862,0,1292.4,1041.8,84,116,2896
862,1,1156.4,1035.3,80,80,2608
862,2,1139.6,1166.6,100,124,3392
862,3,958.4,1189.5,80,80,2896
863,0,1294.7,1052.4,80,116,2656
863,1,1161.2,1044.2,76,84,2736
863,2,1143.8,1175.3,100,124,3344
863,3,961.0,1194.5,80,64,2464
864,0,1295.3,1066.2,72,116,2112
864,1,1166.7,1053.6,76,84,2752
864,2,1149.6,1182.8,104,124,3344
865,0,1173.7,1062.1,76,88,2816
865,1,1155.2,1192.2,100,128,3536
866,0,1181.7,1070.6,76,88,2800
866,1,1162.4,1201.4,104,124,3520
867,0,1190.0,1078.2,76,88,2784
867,1,1170.5,1209.6,108,128,3520
867,2,981.9,1387.2,96,88,2144
868,0,1199.8,1085.9,80,88,2864
868,1,1181.4,1216.9,108,128,3312
868,2,993.5,1381.4,100,128,3152
869,0,1209.6,1093.6,76,88,2832
869,1,1192.9,1222.8,100,128,3344
869,2,1019.7,1258.9,64,80,2256
