frame,t_s,dxA,dyA,peakA,dxB,dyB,peakB
634,10.5500,-10.12,8.01,276.2,1.91,0.13,75.2
635,10.5667,-10.17,8.08,252.6,-12.35,12.11,48.9
636,10.5833,-10.18,8.06,268.7,-13.92,13.75,63.9
637,10.6000,-10.26,8.13,249.2,-13.99,13.71,82.6
638,10.6167,-10.22,8.11,252.6,-13.80,13.47,66.5
639,10.6333,-10.29,8.10,256.9,-14.04,13.77,118.1
640,10.6500,-10.31,8.16,239.7,-13.76,13.69,85.3
641,10.6667,-10.41,8.18,219.6,-13.95,13.82,115.8
642,10.6833,-10.44,8.21,207.5,-13.99,13.72,88.8
643,10.7000,-11.25,8.88,146.0,-14.08,14.03,113.5
644,10.7167,-10.35,8.15,244.9,-13.93,13.91,91.3
645,10.7333,-12.06,10.07,279.5,-14.09,14.02,86.4
646,10.7500,-13.82,11.71,169.9,-14.10,14.03,89.6
647,10.7667,-14.40,11.95,195.5,-14.11,14.03,91.1
648,10.7833,-11.91,9.39,204.5,1.55,0.07,68.4
649,10.8000,-17.50,14.07,144.4,-14.03,13.97,68.9
650,10.8167,-18.49,21.56,122.4,1.76,0.01,118.1
651,10.8333,-24.04,18.30,102.3,1.17,0.07,80.3
652,10.8500,-23.37,28.31,59.3,1.77,0.03,134.6
653,10.8667,-29.64,42.18,43.6,1.64,0.02,111.3
654,10.8833,-12.36,9.92,191.9,1.70,0.06,129.2
655,10.9000,-7.88,7.63,52.2,1.80,0.00,140.2
656,10.9167,-8.00,7.52,71.3,1.88,0.04,158.2
657,10.9333,-7.96,7.44,98.8,1.59,0.06,114.1
658,10.9500,-8.06,7.42,114.9,1.69,-0.02,138.7
659,10.9667,-8.17,7.52,105.7,1.90,-0.00,185.3
660,10.9833,-8.04,7.05,103.5,1.90,0.01,166.4
661,11.0000,-8.12,7.56,109.5,1.92,0.01,171.1
662,11.0167,-8.18,7.33,93.5,1.87,0.00,181.7
663,11.0333,-8.14,7.60,105.3,1.92,-0.01,187.6
664,11.0500,-8.35,7.71,107.6,1.92,0.01,190.2
665,11.0667,-8.16,7.66,116.0,1.93,0.01,192.0
666,11.0833,-8.37,7.77,103.7,1.91,0.02,202.1
667,11.1000,-8.35,7.74,96.9,1.91,0.01,194.4
668,11.1167,-8.28,7.83,82.4,1.92,0.01,179.0
669,11.1333,-8.19,7.98,76.1,1.93,-0.01,158.0
670,11.1500,-8.18,7.80,64.6,1.90,0.01,163.8
671,11.1667,-8.45,7.83,53.2,1.90,-0.04,104.9
672,11.1833,-7.91,6.42,40.9,1.94,-0.01,144.4
673,11.2000,-13.80,4.36,43.6,0.03,1.90,135.8
674,11.2167,-13.71,4.30,42.2,0.01,1.94,151.2
675,11.2333,-8.57,7.63,39.4,-0.03,1.93,108.6
676,11.2500,-12.22,6.04,80.6,1.85,0.03,108.2
677,11.2667,-12.38,6.57,67.8,1.89,0.01,105.1
678,11.2833,-12.01,7.69,73.9,1.85,-0.01,68.2
679,11.3000,-12.08,7.68,63.2,1.75,0.04,52.8
680,11.3167,-14.07,9.50,113.0,-14.02,13.90,97.9
681,11.3333,-14.07,9.79,144.2,-13.90,13.81,89.5
682,11.3500,-13.91,9.65,135.6,-13.86,13.31,57.4
683,11.3667,-14.13,9.67,169.6,-14.14,14.07,121.0
684,11.3833,-13.67,12.44,97.3,-14.06,13.81,73.4
685,11.4000,-14.43,12.65,94.0,0.56,-0.03,61.0
686,11.4167,-13.95,12.12,131.5,0.07,0.04,74.7
687,11.4333,-14.27,12.26,122.0,0.01,-0.07,74.9
688,11.4500,-15.34,14.11,71.9,0.16,-0.09,91.6
689,11.4667,-14.53,14.27,82.2,0.07,-0.06,116.0
690,11.4833,-15.55,14.21,91.5,-0.03,0.01,118.2
691,11.5000,-15.68,14.35,98.8,0.07,0.02,141.0
692,11.5167,-14.66,16.03,63.9,0.04,0.03,170.6
693,11.5333,-14.71,15.97,58.5,0.02,-0.00,191.8
694,11.5500,-19.51,18.42,59.2,0.09,0.04,151.3
695,11.5667,-18.50,18.08,80.8,0.02,0.03,144.9
696,11.5833,-25.29,22.51,84.4,0.03,-0.03,192.1
697,11.6000,-26.11,23.19,91.3,0.39,0.03,131.3
698,11.6167,-25.74,22.66,108.1,0.33,0.02,164.1
699,11.6333,-26.13,23.06,91.1,0.54,0.07,113.0
700,11.6500,-17.80,16.66,129.4,1.90,0.00,181.7
701,11.6667,-17.60,16.44,136.6,0.00,1.92,164.1
702,11.6833,-17.43,16.91,105.8,0.25,2.02,126.0
703,11.7000,-16.78,16.41,113.1,-0.00,3.89,117.3
704,11.7167,-8.88,3.67,159.7,0.10,4.68,97.2
705,11.7333,85.66,12.08,34.2,0.02,5.83,137.8
706,11.7500,-4.12,23.16,109.3,8.02,0.03,105.4
707,11.7667,-3.93,33.16,114.4,0.10,8.02,167.1
708,11.7833,-2.21,25.24,107.1,-0.19,9.99,127.4
709,11.8000,-1.82,45.93,84.9,0.39,10.38,83.5
710,11.8167,-0.05,-0.02,86.9,0.05,12.02,124.2
711,11.8333,-0.01,-0.02,136.4,0.60,12.41,73.0
712,11.8500,0.03,0.03,139.8,0.23,14.01,99.9
713,11.8667,0.03,-0.01,136.9,-0.24,16.00,110.1
714,11.8833,-0.04,6.16,136.2,0.00,15.92,135.0
715,11.9000,0.00,0.01,143.8,0.10,16.80,83.1
716,11.9167,0.03,5.94,122.4,-0.31,17.67,82.5
717,11.9333,0.02,0.04,130.2,0.15,18.00,93.5
718,11.9500,0.06,6.68,118.3,0.09,18.10,86.0
719,11.9667,0.03,0.03,153.5,-0.00,-0.00,77.1
720,11.9833,0.01,0.01,143.9,-0.03,-0.01,84.7
721,12.0000,-0.04,9.38,84.0,0.01,0.01,91.7
722,12.0167,0.02,0.02,84.9,0.02,-0.01,96.6
723,12.0333,-0.02,8.07,101.3,-0.00,-0.01,97.9
724,12.0500,-0.08,8.22,99.1,-0.00,-0.01,118.5
725,12.0667,-0.04,8.27,94.6,0.00,-0.00,114.3
726,12.0833,-0.09,7.79,140.4,0.01,-0.00,123.3
727,12.1000,-0.00,0.08,119.4,0.01,-0.01,120.8
728,12.1167,-0.04,-0.08,174.4,-0.02,-0.01,116.7
729,12.1333,-0.12,0.34,71.6,0.01,0.00,118.9
730,12.1500,0.04,0.04,228.0,-0.02,0.01,135.1
731,12.1667,0.03,0.02,254.5,0.00,0.04,127.3
732,12.1833,-0.03,-0.01,292.9,-0.00,-0.04,133.3
733,12.2000,-0.02,-0.02,282.8,0.01,0.01,130.4
734,12.2167,-0.01,-0.04,161.7,0.01,-0.01,129.3
735,12.2333,0.02,0.02,156.4,0.01,0.01,130.0
736,12.2500,-7.53,0.03,106.4,-0.01,0.00,132.9
737,12.2667,-8.38,0.08,99.0,0.00,0.01,130.4
738,12.2833,-8.92,-0.03,89.2,0.01,-0.01,129.1
739,12.3000,-0.03,0.01,142.3,-0.02,-0.01,128.5
740,12.3167,-11.29,-0.01,104.9,-0.00,0.00,127.0
741,12.3333,-0.03,-0.02,94.5,0.00,0.01,122.4
742,12.3500,-0.00,-0.03,104.1,-0.00,-0.00,113.3
743,12.3667,0.01,-0.04,85.2,-0.02,-0.00,109.1
744,12.3833,-0.01,0.02,119.0,0.01,-0.01,101.2
745,12.4000,-13.21,-0.11,85.1,0.01,-0.00,96.9
746,12.4167,-12.00,-0.04,106.6,0.01,-0.01,92.2
747,12.4333,-11.90,-0.06,103.4,-0.00,0.01,83.4
748,12.4500,-12.98,-0.07,69.7,-18.07,-2.04,109.0
